timestamp,raw
2022-10-14-11-19-36-166199,1.0
2022-10-14-11-19-36-166251,1.0
2022-10-14-11-19-36-166274,1.0
2022-10-14-11-19-36-166291,1.0
2022-10-14-11-19-36-166309,1.0
2022-10-14-11-19-36-166327,1.0
2022-10-14-11-19-36-166340,1.0
2022-10-14-11-19-36-166360,1.0
2022-10-14-11-19-36-166373,1.0
2022-10-14-11-19-36-166390,1.0
2022-10-14-11-19-36-166409,1.0
2022-10-14-11-19-36-166424,1.0
2022-10-14-11-19-36-166443,1.0
2022-10-14-11-19-36-166456,1.0
2022-10-14-11-19-36-166475,1.0
2022-10-14-11-19-36-166490,1.0
2022-10-14-11-19-36-166509,1.0
2022-10-14-11-19-36-166527,1.0
2022-10-14-11-19-36-166540,1.0
2022-10-14-11-19-36-166558,1.0
2022-10-14-11-19-36-166576,1.0
2022-10-14-11-19-36-166590,1.0
2022-10-14-11-19-36-166609,1.0
2022-10-14-11-19-36-166623,1.0
2022-10-14-11-19-36-166640,1.0
2022-10-14-11-19-36-166656,1.0
2022-10-14-11-19-36-166675,1.0
2022-10-14-11-19-36-166692,1.0
2022-10-14-11-19-36-166707,1.0
2022-10-14-11-19-36-166723,1.0
2022-10-14-11-19-36-166734,1.0
2022-10-14-11-19-36-166762,1.0
2022-10-14-11-19-36-166778,1.0
2022-10-14-11-19-36-166796,1.0
2022-10-14-11-19-36-166810,1.0
2022-10-14-11-19-36-166826,1.0
2022-10-14-11-19-36-166844,1.0
2022-10-14-11-19-36-166860,1.0
2022-10-14-11-19-36-166879,1.0
2022-10-14-11-19-36-166893,1.0
2022-10-14-11-19-36-166910,1.0
2022-10-14-11-19-36-166927,1.0
2022-10-14-11-19-37-166945,1.0
2022-10-14-11-19-37-166963,1.0
2022-10-14-11-19-37-166977,1.0
2022-10-14-11-19-37-166993,1.0
2022-10-14-11-19-37-167010,1.0
2022-10-14-11-19-37-167027,1.0
2022-10-14-11-19-37-167046,1.0
2022-10-14-11-19-37-167060,1.0
2022-10-14-11-19-37-167077,1.0
2022-10-14-11-19-37-167094,1.0
2022-10-14-11-19-37-167110,1.0
2022-10-14-11-19-37-167129,1.0
2022-10-14-11-19-37-167144,1.0
2022-10-14-11-19-37-167163,1.0
2022-10-14-11-19-37-167177,1.0
2022-10-14-11-19-37-167193,1.0
2022-10-14-11-19-37-167212,1.0
2022-10-14-11-19-37-167227,1.0
2022-10-14-11-19-37-167243,1.0
2022-10-14-11-19-37-167260,1.0
2022-10-14-11-19-37-167276,1.0
2022-10-14-11-19-37-167296,1.0
2022-10-14-11-19-37-167312,1.0
2022-10-14-11-19-37-167330,1.0
2022-10-14-11-19-37-167347,1.0
2022-10-14-11-19-37-167361,1.0
2022-10-14-11-19-37-167379,1.0
2022-10-14-11-19-37-167396,1.0
2022-10-14-11-19-37-167411,1.0
2022-10-14-11-19-37-167427,1.0
2022-10-14-11-19-37-167444,1.0
2022-10-14-11-19-37-167462,1.0
2022-10-14-11-19-37-167477,1.0
2022-10-14-11-19-37-167494,1.0
2022-10-14-11-19-37-167510,1.0
2022-10-14-11-19-37-167527,1.0
2022-10-14-11-19-37-167546,1.0
2022-10-14-11-19-37-167562,0.0
2022-10-14-11-19-37-167577,0.0
2022-10-14-11-19-37-167594,0.0
2022-10-14-11-19-37-167611,0.0
2022-10-14-11-19-37-167629,0.0
2022-10-14-11-19-37-167647,0.0
2022-10-14-11-19-37-167660,0.0
2022-10-14-11-19-37-167677,0.0
2022-10-14-11-19-37-167694,0.0
2022-10-14-11-19-37-167712,0.0
2022-10-14-11-19-37-167727,0.0
2022-10-14-11-19-37-167743,0.0
2022-10-14-11-19-37-167760,0.0
2022-10-14-11-19-37-167777,0.0
2022-10-14-11-19-37-167796,0.0
2022-10-14-11-19-37-167811,0.0
2022-10-14-11-19-37-167827,0.0
2022-10-14-11-19-37-167846,0.0
2022-10-14-11-19-37-167860,0.0
2022-10-14-11-19-37-167879,0.0
2022-10-14-11-19-37-167894,0.0
2022-10-14-11-19-37-167910,0.0
2022-10-14-11-19-37-167927,0.0
2022-10-14-11-19-38-167944,0.0
2022-10-14-11-19-38-167962,0.0
2022-10-14-11-19-38-167977,0.0
2022-10-14-11-19-38-167993,0.0
2022-10-14-11-19-38-168011,0.0
2022-10-14-11-19-38-168027,0.0
2022-10-14-11-19-38-168045,0.0
2022-10-14-11-19-38-168060,0.0
2022-10-14-11-19-38-168077,0.0
2022-10-14-11-19-38-168093,0.0
2022-10-14-11-19-38-168112,0.0
2022-10-14-11-19-38-168130,0.0
2022-10-14-11-19-38-168144,0.0
2022-10-14-11-19-38-168160,0.0
2022-10-14-11-19-38-168177,0.0
2022-10-14-11-19-38-168193,0.0
2022-10-14-11-19-38-168212,0.0
2022-10-14-11-19-38-168228,0.0
2022-10-14-11-19-38-168244,0.0
2022-10-14-11-19-38-168260,0.0
2022-10-14-11-19-38-168277,0.0
2022-10-14-11-19-38-168295,0.0
2022-10-14-11-19-38-168312,0.0
2022-10-14-11-19-38-168328,1.0
2022-10-14-11-19-38-168345,1.0
2022-10-14-11-19-38-168361,1.0
2022-10-14-11-19-38-168379,1.0
2022-10-14-11-19-38-168394,1.0
2022-10-14-11-19-38-168411,1.0
2022-10-14-11-19-38-168427,1.0
2022-10-14-11-19-38-168444,1.0
2022-10-14-11-19-38-168462,1.0
2022-10-14-11-19-38-168479,1.0
2022-10-14-11-19-38-168494,1.0
2022-10-14-11-19-38-168512,1.0
